BioSample_s	SAMN03565741	SAMN03565809	SAMN03565808	SAMN03565807	SAMN03565806	SAMN03565805	SAMN03565793	SAMN03565794	SAMN03565795	SAMN03565796	SAMN03565797	SAMN03565798	SAMN03565799	SAMN03565800	SAMN03565801	SAMN03565802	SAMN03565803	SAMN03565804	SAMN03565769	SAMN03565770	SAMN03565771	SAMN03565772	SAMN03565773	SAMN03565774	SAMN03565775	SAMN03565776	SAMN03565777	SAMN03565778	SAMN03565779	SAMN03565780	SAMN03565781	SAMN03565782	SAMN03565783	SAMN03565784	SAMN03565785	SAMN03565786	SAMN03565787	SAMN03565788	SAMN03565789	SAMN03565790	SAMN03565791	SAMN03565792	SAMN03565719	SAMN03565721	SAMN03565722	SAMN03565723	SAMN03565724	SAMN03565725	SAMN03565726	SAMN03565727	SAMN03565728	SAMN03565729	SAMN03565730	SAMN03565731	SAMN03565732	SAMN03565733	SAMN03565734	SAMN03565735	SAMN03565736	SAMN03565737	SAMN03565738	SAMN03565739	SAMN03565740	SAMN03565742	SAMN03565743	SAMN03565744	SAMN03565745	SAMN03565746	SAMN03565747	SAMN03565748	SAMN03565749	SAMN03565750	SAMN03565751	SAMN03565752	SAMN03565753	SAMN03565754	SAMN03565755	SAMN03565756	SAMN03565757	SAMN03565758	SAMN03565759	SAMN03565760	SAMN03565761	SAMN03565762	SAMN03565763	SAMN03565764	SAMN03565765	SAMN03565766	SAMN03565767	SAMN03565768	SAMN03565707	SAMN03565708	SAMN03565709	SAMN03565710	SAMN03565711	SAMN03565712	SAMN03565713	SAMN03565714	SAMN03565715	SAMN03565716	SAMN03565717	SAMN03565718	SAMN03565720
host_s	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens	homo sapiens
lat_lon_s	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W	38.8833 N 77.0167 W
source_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
dataset	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son
sequencer	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq	Miseq
region	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2	V1-V2
total_reads	6572	7473	2989	3835	6508	3991	6491	4463	4923	3400	2529	2728	5837	3657	3866	4715	2886	6725	4757	3776	3380	3759	2901	2642	3827	4154	6229	3273	6531	4036	6040	3614	3981	3453	3555	2707	4723	4786	7727	4884	4830	4353	3807	4099	1985	3280	9240	5433	3986	5211	6413	3555	4331	3007	4540	7434	6442	5634	7629	4453	4076	4702	6816	4007	5664	4892	6051	2555	4720	7076	4131	5256	4777	6800	6141	7795	6337	6915	6119	5959	6325	7927	7348	5242	6287	5839	5633	3438	3854	5593	6622	8169	9250	5140	8095	4833	7413	4687	4878	2623	3886	3739	3949
study	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son	asd_son
study_condition	ASD	H	ASD	ASD	ASD	H	H	ASD	ASD	H	ASD	H	ASD	ASD	ASD	H	ASD	H	ASD	H	ASD	ASD	H	ASD	H	ASD	ASD	H	ASD	ASD	H	ASD	ASD	H	ASD	H	ASD	H	H	H	ASD	H	ASD	ASD	H	ASD	ASD	ASD	H	ASD	H	ASD	H	ASD	H	ASD	H	ASD	H	ASD	H	ASD	H	H	ASD	H	ASD	H	ASD	H	ASD	H	ASD	ASD	H	ASD	H	ASD	H	ASD	H	H	ASD	ASD	ASD	ASD	ASD	ASD	H	ASD	ASD	H	ASD	H	ASD	H	ASD	H	ASD	ASD	ASD	H	H
k__Bacteria;p__;c__;o__;f__;g__	0.009129640900791236	0.016191623176769705	0.0026016260162601626	0.03915171288743882	0.020405078597339782	0.03457780005011275	0.00026946914578280785	0.03163444639718804	0.00060156406657309	0.06795302013422819	0.06883217324052592	0.0025389916575988395	0.00016923337282112033	0.005158837903882704	0.0023219814241486067	0.011238293444328825	0.11738002594033721	0.0008921933085501858	0.032224532224532226	0.0031637226469812814	0.08694754233787692	0.0026602819898909284	0.001034126163391934	0.1898692810457516	0.015155474261823884	0.009843937575030012	0.00015832805573147562	0.0	0.0007632422530911312	0.01763584366062917	0.006878650227125243	0.010237963475373547	0.00024752475247524753	0.2675397567820393	0.04115341545352743	0.000346860908775581	0.06233230134158927	0.012422360248447206	0.0010339925035543493	0.0018329938900203666	0.0033126293995859213	0.01286469101768895	0.0018229166666666667	0.00111731843575419	0.00796812749003984	0.00030211480362537764	0.0004329004329004329	0.013040371561271883	0.021682153919466287	0.0	0.0003118665211289568	0.005307262569832402	0.006433823529411765	0.030803429660209592	0.0	0.0005243151133831433	0.0001552312946289972	0.044522348816827345	0.0011797090051120724	0.2195389681668496	0.00500595947556615	0.0010564124234100994	0.001136202243999432	0.0009982530571499876	0.003678402522333158	0.0006118702834998981	0.020459228731233438	0.010505836575875487	0.006339814032121725	0.0029523407844791226	0.0002414875633904854	0.0	0.0010436234606553954	0.003805063661642031	0.004559517993812083	0.0005107252298263534	0.02856241123560044	0.13955169920462762	0.02467723484229449	0.000839066957543212	0.00031496062992125983	0.00025157232704402514	0.0014694095645204383	0.01237388159147154	0.00015817779183802593	0.00895724184552983	0.000354421407052986	0.0747503566333809	0.0033273611466598414	0.002305782192266761	0.001924500370096225	0.0026999662504218697	0.0676025917926566	0.24768308195529712	0.0012303149606299212	0.002468198215302829	0.11385404019964926	0.045231491359078294	0.0	0.0764378478664193	0.10705095213587237	0.01075833114668066	0.012856062515754977
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__	0.0	0.0006690753378830456	0.0006504065040650406	0.0	0.0	0.0	0.0	0.0008787346221441124	0.0	0.0	0.006187161639597835	0.0	0.0	0.0	0.0	0.0	0.0009727626459143969	0.00014869888475836432	0.0	0.0	0.0006195786864931846	0.0	0.0	0.000980392156862745	0.0	0.0	0.0	0.0	0.0009158907037093573	0.0	0.00038935756002595715	0.0	0.0037128712871287127	0.0	0.0	0.0	0.001651186790505676	0.0014492753623188406	0.00038774718883288094	0.0	0.00020703933747412008	0.0	0.00234375	0.0	0.0	0.0015105740181268882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007011393514460999	0.0	0.0	0.0023837902264600714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031560675398453525	0.0	0.0003268507926131721	0.0008390669575432119	0.0	0.00012578616352201257	0.0	0.0007614696363982486	0.0	0.0	0.0	0.0	0.0015357051446122344	0.0	0.00044411547002220575	0.001237484531443357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011131725417439704	0.0	0.0005247966413014956	0.00025207965717166626
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.00015216068167985393	0.0016057808109193094	0.0016260162601626016	0.0016313213703099511	0.00015114873035066505	0.0	0.0004042037186742118	0.0013181019332161687	0.0016041708441949067	0.0011185682326621924	0.0007733952049497294	0.0	0.0	0.00027151778441487917	0.008255933952528379	0.0002081165452653486	0.0	0.002825278810408922	0.0002079002079002079	0.0	0.0008261049153242462	0.00558659217877095	0.046190968631506374	0.0	0.0018291089626339167	0.001680672268907563	0.00015832805573147562	0.001938521185267239	0.0010685391543275836	0.0007149666348903718	0.00025957170668397143	0.002213613724405091	0.014603960396039603	0.00023386342376052386	0.0005599104143337066	0.0	0.0006191950464396285	0.0008281573498964803	0.0	0.0004073319755600815	0.0026915113871635614	0.002067539627842867	0.002604166666666667	0.0024581005586592182	0.00099601593625498	0.0006042296072507553	0.00010822510822510823	0.0001786352268667381	0.0	0.0036356678147722926	0.0004677997816934352	0.0	0.002297794117647059	0.0	0.0013183915622940012	0.0	0.0	0.00035056967572304995	0.0009175514484205007	0.0004390779363336992	0.010727056019070322	0.0016902598774561587	0.000142025280499929	0.0029947591714499623	0.00017516202487300754	0.0008158270446665307	0.0008831321754489256	0.005058365758754864	0.00507185122569738	0.00253057781526782	0.001931900507123883	0.007039573820395738	0.02963890628261323	0.0	0.001465559355153884	0.0007660878447395302	0.002209247277891747	0.001012292118582791	0.00016342539630658605	0.0015103205235777815	0.0011023622047244095	0.0006289308176100629	0.03860539674058242	0.003236245954692557	0.003954444795950649	0.0003380091262464086	0.0	0.0	0.024571282313795753	0.0023057821922667612	0.008734270910436713	0.012149848126898413	0.0014038876889848812	0.00018171906232963838	0.0013533464566929134	0.00037972280235428136	0.0	0.0	0.005583472920156337	0.001484230055658627	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.0	0.0	0.0	0.0	0.002116082224909311	0.0	0.0	0.0	0.0	0.0	0.0	0.0003627130939426913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0	0.0	0.0	0.0	0.00015114873035066505	0.0	0.0	0.0	0.0	0.0	0.0	0.0003627130939426913	0.0	0.0	0.0	0.0	0.00032425421530479895	0.00014869888475836432	0.0	0.0	0.0	0.0	0.0	0.0	0.0010452051215050953	0.0	0.0	0.0005538631957906397	0.0	0.0028598665395614875	0.0	0.0027670171555063644	0.0004950495049504951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020703933747412008	0.00022972662531587412	0.0015625	0.0	0.0	0.0	0.0	0.0001786352268667381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012261341741110527	0.0	0.0	0.0	0.0	0.0	0.0	0.000380517503805175	0.0	0.0	0.00016283992835043154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002559508574353724	0.0	0.0	0.0	0.00032397408207343413	0.0007268762493185535	0.0	0.0	0.00013489815189531904	0.0	0.0	0.0018552875695732837	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.00030432136335970786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020052135552436334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003447087211306446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000693721817551162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021128248468201986	0.0	0.0	0.0	0.00020395676116663266	0.0	0.0	0.0	0.0	0.0	0.0	0.0002087246921310791	0.00014634860237084735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018986140117714068	0.0	0.0	0.00018611576400521124	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__	0.0	0.0008028904054596548	0.0045528455284552845	0.0	0.0	0.0	0.0	0.0	0.0	0.0050335570469798654	0.0	0.005803409503083061	0.0	0.0	0.0	0.0	0.0006485084306095979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005958055290753098	0.00038935756002595715	0.0	0.0014851485148514852	0.0007015902712815715	0.0016797312430011197	0.0	0.001651186790505676	0.00020703933747412008	0.0	0.0	0.0014492753623188406	0.001837813002526993	0.00078125	0.0	0.0	0.0	0.0	0.0003572704537334762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008831321754489255	0.0011673151750972762	0.0	0.0	0.0	0.0	0.01648925067835525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010799136069114471	0.0	0.0	0.0	0.0	0.0	0.0	0.0025974025974025974	0.0028306742151312406	0.0028863815271582263	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0	0.0	0.0	0.0	0.0009068923821039903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001596169193934557	0.003791795932437091	0.0	0.0	0.0	0.0	0.0	0.0	0.0016682554814108675	0.0011680726800778717	0.0	0.0	0.0035079513564078577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045955882352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.0021953896816684962	0.026460071513706794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014624817189785129	0.0	0.0	0.0	0.00018986140117714068	0.0	0.0	0.0	0.0	0.0	0.0	0.00025207965717166626
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.5832318928788801	0.5554663455105038	0.26471544715447165	0.4045676998368682	0.6352781136638453	0.4540215484840892	0.5689841013203988	0.447934973637962	0.7072388209344297	0.41526845637583915	0.4961330239752509	0.3025027203482047	0.7461499407683192	0.42465381482487063	0.3851909184726522	0.36108220603538027	0.1180285343709468	0.09680297397769518	0.3688149688149688	0.3084629580806749	0.1831887649731516	0.4873636605480176	0.47845570492933487	0.1545751633986928	0.4677292918735298	0.5500600240096035	0.6760607979734002	0.3337025754638607	0.7650740344985502	0.2640610104861773	0.6982478909798832	0.21278361925843944	0.38737623762376244	0.15575304022450887	0.29899216125419936	0.003121748178980229	0.40681114551083547	0.5538302277432716	0.6144500452371727	0.38391038696537705	0.5169772256728784	0.6110728233402256	0.10442708333333331	0.5894972067039104	0.2843625498007968	0.6954682779456189	0.8340909090909088	0.22543765630582344	0.292828210626638	0.4678530424799082	0.7916731638858568	0.07458100558659217	0.5381433823529413	0.03715465227056208	0.32432432432432395	0.88058723292699	0.8902514746972994	0.7432077125328661	0.8564687377113689	0.2897914379802412	0.41597139451728243	0.5907458271709277	0.07939213179946031	0.3578737209882704	0.5307409353652127	0.489904140322252	0.7887842213717976	0.1575875486381323	0.22717666948436166	0.46815689582454734	0.5131610722047815	0.5058980213089808	0.4460446670841154	0.7718425289038482	0.6388210389187421	0.6192543411644537	0.5595707748145801	0.5978308026030367	0.6620362804379799	0.506628628964591	0.5510236220472452	0.7171069182389923	0.727491317125301	0.5080906148867314	0.1390382790256248	0.5311813418962313	0.7148679780258733	0.33380884450784565	0.5671871000767853	0.712309329549485	0.04944485566247224	0.4904938688266395	0.053455723542116654	0.09849173178266399	0.6251230314960641	0.45452819441807485	0.6778632132739779	0.6422018348623851	0.6994230411315837	0.1695732838589982	0.3793103448275862	0.014431907635791132	0.2689689942021679
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__	0.0	0.0	0.0	0.0	0.0033252720677146314	0.0	0.0	0.0048330404217926184	0.0	0.0	0.0019334880123743233	0.002538991657598839	0.0054154679302758505	0.0	0.0	0.0	0.0	0.00014869888475836432	0.0	0.0	0.0	0.0007980845969672786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006673021925643469	0.0016872160934458143	0.004150525733259546	0.0	0.0	0.0	0.0	0.0041279669762641896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021645021645021645	0.0	0.0	0.0	0.0	0.001955307262569832	0.007352941176470588	0.00031756113051762465	0.0070314216655680065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000142025280499929	0.0	0.0	0.0	0.0	0.0	0.00021132713440405747	0.0	0.0	0.0001902587519025875	0.0	0.0	0.0	0.0	0.0023670506548840145	0.0	0.0003268507926131721	0.006712535660345696	0.002204724409448819	0.0	0.0001335826876836762	0.0007614696363982486	0.0	0.0	0.0	0.0002853067047075606	0.002303557716918352	0.0	0.0	0.0058499268759140514	0.0	0.00018171906232963838	0.0	0.0037972280235428137	0.00013489815189531904	0.0006400682739492213	0.0	0.0025974025974025974	0.00283067421513124	0.010495932826029912	0.00201663725737333
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella	0.00015216068167985393	0.0	0.016910569105691057	0.006525285481239804	0.021311970979443772	0.04710598847406665	0.0	0.0	0.00020052135552436334	0.011465324384787473	0.0	0.0	0.0	0.0	0.0	0.0	0.0012970168612191958	0.0	0.0	0.0	0.0	0.010109071561585529	0.008617718028266115	0.015359477124183007	0.013587666579566239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01410891089108911	0.0	0.0	0.0	0.0030959752321981426	0.0008281573498964803	0.0	0.0	0.012215320910973085	0.004364805881001608	0.03046875	0.0	0.0	0.0	0.0	0.004108610217934977	0.050274005241839406	0.009567546880979716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043468715697036225	0.0014302741358760429	0.00021128248468201986	0.0	0.0	0.017516202487300753	0.014276973281664286	0.004562849573152782	0.030739299610894943	0.0	0.0	0.0	0.0	0.010644959298685034	0.0045368066734962674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03305915849414742	0.000507013689369613	0.004075846181109339	0.0002853067047075606	0.007678525723061172	0.0	0.0	0.0	0.003455723542116631	0.015991277485008178	0.0	0.0	0.0	0.0	0.00893355667225014	0.014842300556586271	0.0	0.0	0.01613309805898664
