BioSample_s	SAMN01163983	SAMN01163984	SAMN01163985	SAMN01163986	SAMN01163988	SAMN01163989	SAMN01163990	SAMN01163991	SAMN01163992	SAMN01163993	SAMN01163994	SAMN01163995	SAMN01163996	SAMN01163997	SAMN01163998	SAMN01163999	SAMN01164000	SAMN01164001	SAMN01164002	SAMN01164003	SAMN01164004	SAMN01164005	SAMN01164006	SAMN01164007	SAMN01164008	SAMN01164009	SAMN01164010	SAMN01164011	SAMN01164012	SAMN01164013	SAMN01164014	SAMN01164015	SAMN01164016	SAMN01164017	SAMN01164018	SAMN01164019	SAMN01164020	SAMN01164021	SAMN01164022	SAMN01164023	SAMN01164024	SAMN01164025	SAMN01164026	SAMN01164028	SAMN01164029	SAMN01164030	SAMN01164031	SAMN01164032	SAMN01164033	SAMN01164034	SAMN01164035	SAMN01164036	SAMN01164037	SAMN01164051	SAMN01164056	SAMN01164057	SAMN01164058	SAMN01164059	SAMN01164060	SAMN01164062	SAMN01164063	SAMN01164064	SAMN01164065	SAMN01164066	SAMN01164067	SAMN01164068	SAMN01164073	SAMN01164074	SAMN01164075	SAMN01164076	SAMN01164077	SAMN01164078
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007677543186180422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022964509394572025	0.0	0.0	0.0	0.0	0.0	0.0	0.01875901875901876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000484027105517909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.09278350515463918	0.388214904679376	0.05642633228840127	0.22054380664652565	0.8018867924528302	0.281076801266825	0.8598130841121495	0.6226138032305435	0.414572864321608	0.7585836909871243	0.005529953917050691	0.00375234521575985	0.016828721017202695	0.9174311926605504	0.6967213114754098	0.6576271186440675	0.8486622073578599	0.42666666666666664	0.8153655514250312	0.854223433242507	0.6346153846153845	0.8799212598425197	0.1434426229508197	0.09836065573770492	0.07868852459016394	0.346072186836518	0.41007194244604317	0.491395793499044	0.811650485436893	0.7505197505197504	0.9236111111111107	0.8733153638814015	0.01727447216890595	0.8481481481481482	0.5833333333333331	0.09713375796178343	0.37688442211055273	0.4142156862745098	0.5256673511293631	0.6279527559055116	0.3945720250521921	0.17555555555555555	0.5311284046692606	0.042735042735042736	0.6220858895705522	0.018587360594795536	0.7972027972027973	0.025974025974025972	0.6675572519083971	0.8009153318077804	0.2336448598130841	0.7398648648648651	0.9556650246305418	0.096045197740113	0.004158004158004158	0.6836555360281193	0.94147582697201	0.7677725118483413	0.66875	0.7972536348949919	0.6692456479690523	0.9405366207396664	0.5059523809523809	0.20522749273959343	0.27586206896551724	0.776470588235294	0.8394160583941606	0.4117647058823529	0.8145454545454547	0.015384615384615385	0.5668449197860963	0.7538461538461538
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales_incertae_sedis;g__Phocaeicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04569420035149385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__	0.0	0.012131715771230503	0.0	0.0	0.0	0.000791765637371338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006811989100817438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010395010395010396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0049261083743842365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella	0.0	0.0	0.0	0.0	0.0	0.009501187648456057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012942779291553134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006738544474393531	0.0	0.001851851851851852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019455252918287938	0.0	0.0	0.0	0.0	0.0	0.0003816793893129771	0.0	0.003738317757009346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013539651837524178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	0.0	0.0	0.0	0.0015105740181268882	0.0	0.000791765637371338	0.003115264797507788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012295081967213115	0.0	0.0008361204013377926	0.0	0.0024783147459727386	0.007493188010899182	0.0	0.0	0.0	0.0	0.0	0.0021231422505307855	0.0	0.0	0.0	0.0	0.0	0.0026954177897574125	0.0	0.0	0.0	0.0	0.0	0.0024509803921568627	0.0	0.0	0.0	0.0	0.0038910505836575876	0.0	0.0	0.0	0.004662004662004662	0.0	0.0011450381679389313	0.009153318077803204	0.003738317757009346	0.0	0.0	0.0	0.0	0.0	0.005089058524173028	0.0	0.00625	0.0	0.061895551257253385	0.0	0.0	0.000484027105517909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.0	0.0017331022530329288	0.0041797283176593526	0.0	0.018867924528301886	0.0	0.003115264797507788	0.0	0.0	0.001072961373390558	0.0	0.0	0.0	0.0	0.012295081967213115	0.0	0.0008361204013377926	0.0	0.006195786864931847	0.0027247956403269754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009560229445506692	0.0	0.0	0.011574074074074073	0.0	0.0	0.0	0.001851851851851852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019455252918287938	0.0	0.001226993865030675	0.0	0.002331002331002331	0.0	0.0011450381679389313	0.0	0.0	0.006756756756756757	0.0	0.0	0.0	0.0	0.007633587786259542	0.014218009478672985	0.0	0.002423263327948304	0.0	0.01595358955765047	0.0	0.000484027105517909	0.0	0.0	0.0072992700729927005	0.0392156862745098	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__	0.0	0.07105719237435008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021231422505307855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018518518518518517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10031847133757962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0.0	0.0	0.0073145245559038665	0.004531722054380665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006195786864931847	0.0	0.0	0.0	0.0	0.0	0.003278688524590164	0.0	0.0	0.0	0.0	0.0	0.0	0.004043126684636119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004580152671755725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00392156862745098	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	0.0	0.18704284221525602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007479431563201197	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.5592686002522068	0.0	0.19532908704883228	0.002398081534772182	0.0	0.0	0.0	0.0	0.0	0.6986564299424185	0.0	0.0	0.4187898089171975	0.0	0.0	0.0	0.0	0.12943632567849686	0.0	0.0	0.0	0.0049079754601227	0.0	0.002331002331002331	0.7186147186147187	0.0007633587786259542	0.0	0.32336448598130846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005952380952380952	0.48596321393998065	0.0	0.0	0.0	0.0	0.0	0.015384615384615385	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Xylanibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02886002886002886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0	0.0034662045060658577	0.0	0.006042296072507553	0.0	0.001583531274742676	0.003115264797507788	0.005873715124816446	0.0	0.0	0.0	0.0	0.0	0.0030581039755351682	0.0	0.0	0.0033444816053511705	0.0	0.004956629491945477	0.0034059945504087193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004158004158004158	0.0	0.0	0.0	0.0	0.000925925925925926	0.0	0.0	0.007352941176470588	0.0	0.001968503937007874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001443001443001443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038684719535783366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__;o__;f__;g__	0.0009372071227741331	0.0	0.0010449320794148381	0.0030211480362537764	0.0	0.0	0.0	0.0014684287812041115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003883495145631068	0.0	0.0	0.0	0.0019193857965451055	0.0	0.0	0.0	0.0	0.0	0.0	0.001968503937007874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005235602094240838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.0009372071227741331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002617801047120419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001226993865030675	0.0	0.0	0.001443001443001443	0.0	0.0	0.0	0.0	0.0	0.0	0.004158004158004158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.0018744142455482662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009216589861751152	0.0	0.24981301421091995	0.0	0.004098360655737705	0.0	0.0	0.0	0.0	0.0	0.03205128205128205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042735042735042736	0.003680981595092025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.00937207122774133	0.0	0.0	0.0	0.0	0.0	0.0	0.002936857562408223	0.005025125628140704	0.0	0.9585253456221198	0.0	0.1537023186237846	0.0	0.0	0.0	0.0	0.0033333333333333335	0.0	0.0	0.00641025641025641	0.0	0.0	0.015762925598991173	0.006557377049180328	0.006369426751592357	0.0	0.0	0.001941747572815534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020876826722338203	0.0	0.0	0.0	0.0049079754601227	0.0	0.0	0.0	0.0	0.0	0.0	0.0033783783783783786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005802707930367505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella	0.0	0.0	0.024033437826541274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002617801047120419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00245398773006135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0028116213683223993	0.0	0.034482758620689655	0.0	0.0	0.05621536025336501	0.0	0.005873715124816446	0.0	0.0	0.01566820276497696	0.0	0.37210172026925953	0.0	0.004098360655737705	0.0	0.0	0.0033333333333333335	0.0	0.0	0.038461538461538464	0.0	0.0	0.0308953341740227	0.10819672131147542	0.0021231422505307855	0.0	0.0	0.0	0.002079002079002079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007352941176470588	0.0	0.001968503937007874	0.0020876826722338203	0.0	0.0019455252918287938	0.0	0.00245398773006135	0.0	0.0	0.004329004329004329	0.0019083969465648854	0.0	0.0	0.016891891891891893	0.0	0.0	0.012474012474012475	0.0	0.0076335877862595426	0.023696682464454978	0.025	0.0	0.08123791102514508	0.0	0.0	0.001936108422071636	0.011494252873563218	0.03529411764705882	0.0	0.20588235294117646	0.0	0.005128205128205128	0.0053475935828877	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	0.0	0.01733102253032929	0.01044932079414838	0.006042296072507553	0.0	0.029295328582739512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012738853503184712	0.0	0.0	0.0	0.0	0.0	0.0013477088948787063	0.0019193857965451055	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.001968503937007874	0.025052192066805846	0.044444444444444446	0.0038910505836575876	0.0	0.0	0.0	0.002331002331002331	0.0	0.0	0.004576659038901602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto	0.0028116213683223993	0.0	0.0	0.007552870090634441	0.0	0.038796516231195566	0.0	0.0	0.24371859296482412	0.0	0.0	0.00375234521575985	0.00037397157816005983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04330708661417323	0.02459016393442623	0.0	0.0	0.008492569002123142	0.007194244604316546	0.0	0.001941747572815534	0.0	0.0	0.0	0.0	0.001851851851851852	0.002777777777777778	0.0	0.005025125628140704	0.0024509803921568627	0.0	0.003937007874015748	0.0	0.0022222222222222222	0.0	0.017094017094017096	0.0	0.0	0.0	0.001443001443001443	0.0	0.0	0.0	0.0	0.0	0.0	0.006237006237006237	0.0035149384885764497	0.0	0.0	0.0	0.038772213247172865	0.0	0.009427121102248005	0.002976190476190476	0.005808325266214908	0.0	0.0	0.0072992700729927005	0.0	0.0	0.1435897435897436	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XIII;g__Anaerovorax	0.0	0.03466204506065858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	0.018744142455482664	0.019064124783362217	0.04284221525600836	0.04833836858006043	0.0	0.009501187648456057	0.006230529595015576	0.02202643171806167	0.025125628140703515	0.0203862660944206	0.0	0.22138836772983114	0.006357516828721017	0.0015290519877675841	0.012295081967213115	0.020338983050847456	0.009197324414715718	0.08333333333333334	0.0024783147459727386	0.0	0.00641025641025641	0.005905511811023622	0.012295081967213115	0.011979823455233293	0.003278688524590164	0.03184713375796178	0.021582733812949638	0.032504780114722756	0.05436893203883495	0.002079002079002079	0.009259259259259259	0.008086253369272238	0.013435700575815739	0.014814814814814812	0.014814814814814814	0.23248407643312102	0.28810720268006695	0.039215686274509796	0.014373716632443531	0.011811023622047244	0.025052192066805843	0.08666666666666667	0.019455252918287938	0.0	0.022085889570552148	0.007434944237918215	0.011655011655011656	0.0101010101010101	0.0026717557251908397	0.004576659038901602	0.03364485981308411	0.0033783783783783786	0.009852216748768473	0.33333333333333337	0.018711018711018712	0.045694200351493845	0.0	0.0	0.025	0.017770597738287562	0.007736943907156673	0.007251631617113851	0.0	0.012584704743465635	0.26436781609195403	0.011764705882352941	0.0072992700729927005	0.0196078431372549	0.04727272727272728	0.5076923076923077	0.0106951871657754	0.010256410256410256
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	0.0	0.0	0.0	0.0	0.009433962264150943	0.0	0.0	0.002936857562408223	0.0	0.0	0.0	0.0	0.0018698578908002991	0.0	0.012295081967213115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002398081534772182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019342359767891683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cellulosilyticum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02079002079002079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa	0.03842549203373946	0.0017331022530329288	0.008359456635318705	0.030211480362537763	0.0	0.000791765637371338	0.006230529595015576	0.011747430249632892	0.17587939698492466	0.019313304721030045	0.0	0.6247654784240151	0.028421839940164548	0.0015290519877675841	0.00819672131147541	0.02711864406779661	0.013377926421404684	0.006666666666666667	0.006195786864931847	0.0006811989100817438	0.038461538461538464	0.03740157480314961	0.012295081967213115	0.0018915510718789407	0.0	0.0	0.02398081534772182	0.017208413001912046	0.01553398058252427	0.10602910602910603	0.0023148148148148147	0.0	0.009596928982725527	0.003703703703703704	0.013888888888888888	0.0031847133757961785	0.10050251256281406	0.01715686274509804	0.002053388090349076	0.033464566929133854	0.010438413361169102	0.006666666666666666	0.0019455252918287938	0.0	0.03558282208588957	0.0	0.0	0.001443001443001443	0.0015267175572519084	0.002288329519450801	0.001869158878504673	0.010135135135135136	0.009852216748768473	0.15254237288135594	0.079002079002079	0.029876977152899824	0.0	0.009478672985781991	0.018750000000000003	0.02988691437802908	0.0	0.010877447425670775	0.002976190476190476	0.002904162633107454	0.11494252873563218	0.027450980392156862	0.0	0.049019607843137254	0.13454545454545455	0.03076923076923077	0.0106951871657754	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVb	0.0	0.0	0.00522466039707419	0.0015105740181268882	0.0	0.014251781472684086	0.0	0.007342143906020558	0.0	0.0	0.0	0.0	0.006357516828721018	0.0	0.0	0.0	0.0016722408026755853	0.2366666666666667	0.0	0.0034059945504087193	0.0	0.0	0.0	0.0012610340479192938	0.0	0.0021231422505307855	0.0	0.005736137667304015	0.0	0.0	0.0	0.0013477088948787063	0.0	0.001851851851851852	0.001851851851851852	0.0	0.0	0.0	0.0	0.0	0.0020876826722338203	0.0022222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003738317757009346	0.0	0.0	0.02824858757062147	0.0	0.0	0.0	0.0	0.0125	0.0008077544426494346	0.0	0.0	0.0	0.0	0.0	0.00392156862745098	0.0072992700729927005	0.0	0.0	0.005128205128205128	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	0.0018744142455482662	0.01559792027729636	0.03239289446185998	0.00906344410876133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012738853503184712	0.007194244604316547	0.0	0.0	0.0	0.0	0.0013477088948787063	0.0019193857965451055	0.003703703703703704	0.0	0.0	0.0	0.012254901960784314	0.002053388090349076	0.0	0.0020876826722338203	0.0044444444444444444	0.0	0.0	0.0	0.0	0.0	0.017316017316017316	0.0003816793893129771	0.0	0.01308411214953271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0160427807486631	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	0.0	0.0017331022530329288	0.0010449320794148381	0.0015105740181268882	0.0	0.000791765637371338	0.0	0.0	0.0	0.0	0.0	0.005628517823639775	0.0011219147344801795	0.0	0.0	0.0	0.0008361204013377926	0.0033333333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11750599520383692	0.0	0.0	0.0	0.0	0.0	0.0	0.001851851851851852	0.0	0.0	0.018425460636515914	0.0	0.0	0.0	0.0	0.0022222222222222222	0.0	0.0	0.001226993865030675	0.0	0.0	0.001443001443001443	0.0003816793893129771	0.0	0.001869158878504673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00625	0.0	0.0	0.0	0.0	0.000968054211035818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
